author,comment,publishedAt,likeCount
@medybrawny7756,the real obrolan tongkrongan bapack2 kalo di pos ronda atau di warung kopi ini mah 🤣,2025-10-10T14:20:33Z,0
@rifqyraihan,anying aing keur dahar rizky anak sule ah kehed,2025-10-10T12:55:53Z,0
@PrasMarti,Ternyata banyak ya pelawak berkedok penyanyi.... Ngakak jungkir balik jadinya,2025-10-10T12:42:57Z,0
@daniraisatasya717,y,2025-10-10T11:00:37Z,0
@meqgapuspita9322,8:36 bang yg namanya tai ya bau. Ketauan bangat bapak2 gak pernah bantu istri nyebokin bayi nya,2025-10-10T10:06:36Z,0
@nelissintiani2145,Asli suka banget sama cowok Sunda uda ganteng humoris pula 😂,2025-10-10T09:23:47Z,9
@mangepot2429,Sunda semua jir wkwk,2025-10-10T08:07:51Z,0
@admusy,Iya lagi kaya alien pas anak berojol 😅,2025-10-10T06:24:16Z,0
@ItaKartini-l2x,Karena orang suna resep heureuy jadi klop aja becandaan nya dorderdar ngakak bintang tamu sama yang punya podcast nya,2025-10-10T06:07:22Z,0
@JeriArdiansyah-f9k,Jambal roti seperapat😂,2025-10-10T04:19:27Z,0
@sikjms-x8c,"ngomongin politik sambil becanda seru kali ya, undang pak anies dong :D",2025-10-10T02:58:47Z,1
@vania-70-w1m,😂😂,2025-10-10T02:29:17Z,0
@nefiiiReaction,pantesan chemistry dapet banget semua orang sunda suka becanda semua yg ada dipodcast ini 😂 kecuali sidarto,2025-10-10T01:51:39Z,0
@dewawisesa9974,Anjirrr... Ngakak ngakak parah.sampe diusir sama suster jaga RS.😂😂😂😂...,2025-10-09T20:58:17Z,0
@ArsyadIsmail-wx4tx,Invite kang sule dong... Pasti rame,2025-10-09T16:54:39Z,0
@AsAs-xm1yy,Sehat2 rijki❤❤,2025-10-09T16:29:18Z,0
@dwiikhsaniiii,OMESH LUCU BANGET TEKUAT😭😭😭,2025-10-09T16:02:15Z,0
@rubyinsani5438,"Bukan mau hujat,tp gua ngeliatin ngok ngomong tuh berasa pegel bgt kaya gapernah masuk timing nya ✌️🙏",2025-10-09T15:30:49Z,0
@WitaLestari-wy2pq,Lucu bget obrolan bapak²😂 ternyata kyk ibu2 juga😂,2025-10-09T14:02:03Z,5
